Jahr;Monat;Monat_Jahr;Q_KW_MHF;Q_KW_RUH_Spree;Q_KW_RUH_TeK;Q_KW_RUH_ges;Q_KW_STA;Q_KW_WAS;Q_KW_Wan;Q_SCH;Q_WW_BEE;Q_WW_FRI;Q_WW_KLA;Q_WW_SPA;Q_WW_STO;Q_WW_TEG;Q_WW_TIE;Q_WW_WUH;Q_WW_KAU
2013;6;Jun 13;0.44;0.92;1.85;2.77;0.60;2.28;0.45;1.37;1.20;1.54;0.18;0.77;0.8;1.6;0.4;0.25;0.18
2013;7;Jul 13;0.45;0.73;1.60;2.33;0.51;2.15;0.5;1.26;1.36;1.74;0.20;0.79;0.8;1.7;0.42;0.26;0.19
2013;8;Aug 13;0;0.85;1.74;2.59;0.43;2.26;0.45;1.27;1.25;1.64;0.16;0.72;0.79;1.59;0.42;0.26;0.19
2013;9;Sep 13;0.38;0.9;1.77;2.67;0.57;2.30;0.43;1.33;1.14;1.46;0.1;0.75;0.68;1.37;0.40;0.26;0.19
2013;10;Okt 13;0.38;2.62;0;2.62;0.60;2.3;0.43;1.31;1.14;1.51;0.14;0.63;0.64;1.4;0.4;0.24;0.16
2013;11;Nov 13;0.38;2.86;0;2.86;0.6;2.23;0.39;1.38;1.13;1.6;0.15;0.7;0.53;1.47;0.40;0.24;0.18
2013;12;Dez 13;0.37;2.67;0;2.67;0.56;2.19;0.42;1.30;1.1;1.38;0.15;0.73;0.62;1.41;0.38;0.25;0.19
2014;1;Jan 14;0.39;2.50;0;2.50;0.54;2.20;0.43;1.28;0.82;1.43;0;0.77;0.65;1.57;0.41;0.26;0.20
2014;2;Feb 14;0.40;2.5;0;2.5;0.52;2.17;0.40;1.25;1.04;1.46;0.1;0.74;0.65;1.53;0.40;0.25;0.18
2014;3;Mrz 14;0.41;2.21;0.21;2.42;0.57;2.20;0.43;1.27;1.08;1.45;0.16;0.73;0.68;1.54;0.39;0.23;0.20
2014;4;Apr 14;0.41;0.75;1.63;2.38;0.56;2.23;0.45;1.26;1.17;1.64;0.16;0.78;0.64;1.35;0.40;0.26;0.18
2014;5;Mai 14;0.42;0.91;1.91;2.82;0.57;2.37;0.5;1.39;1.19;1.73;0.15;1.01;0.74;1.04;0.41;0.27;0.20
2014;6;Jun 14;0.43;0.81;1.76;2.57;0.6;2.25;0.45;1.27;1.19;1.88;0.1;1.19;0.7;1.05;0.43;0.28;0.20
2014;7;Jul 14;0.4;0.83;1.92;2.76;0.57;2.34;0.41;1.33;1.20;1.90;0.14;1.15;0.7;1.04;0.48;0.32;0.20
2014;8;Aug 14;0.41;0.71;1.69;2.4;0.52;2.22;0.37;1.23;1.10;1.75;0.13;1.04;0.67;0.9;0.57;0.29;0.19
2014;9;Sep 14;0.41;0.69;1.71;2.41;0.55;2.2;0.46;1.23;1.11;1.69;0.1;0.97;0.68;0.97;0.5;0.30;0.20
2014;10;Okt 14;0.40;2.43;0.02;2.45;0.55;2.20;0.41;1.29;1.12;1.45;0.12;0.92;0.70;1.06;0.47;0.30;0.20
2014;11;Nov 14;0.41;2.42;0.01;2.42;0.56;2.08;0.38;1.22;1.11;1.55;0.10;0.93;0.64;1.10;0.47;0.30;0.19
2014;12;Dez 14;0.40;2.75;0.02;2.77;0.58;2.23;0.39;1.31;1.08;1.41;0.11;0.96;0.7;1.05;0.5;0;0.20
2015;1;Jan 15;0.43;2.99;0.00;2.99;0.58;2.37;0.42;1.41;1.10;1.50;0.1;0.94;0.71;1.01;0.48;0.30;0.20
2015;2;Feb 15;0.43;2.7;0;2.7;1;2.1;0.34;1.2;1.10;1.53;0.13;0.91;0.70;1.13;0.46;0.27;0.18
2015;3;Mrz 15;0.42;2.85;0.06;2.91;0.6;2.31;0.34;1.3;1.10;1.53;0.12;0.94;0.71;1.15;0.46;0.27;0.2
2015;4;Apr 15;0.41;0.69;1.92;2.6;0.56;2.2;0.41;1.17;1.15;1.65;0.1;1.03;0.73;1.10;0.5;0.28;0.20
2015;5;Mai 15;0.42;0.75;1.74;2.50;0.54;2.20;0.48;1.18;1.20;1.85;0.13;1.12;0.81;0.92;0.48;0.32;0.21
2015;6;Jun 15;0.43;0.86;1.86;2.71;0.59;2.26;0.38;1.23;1.22;2.02;0.13;1.23;0.93;0.99;0.50;0.34;0.21
2015;7;Jul 15;0.42;0.83;1.89;2.72;0.6;2.32;0.41;1.26;1.21;1.87;0.13;1.00;0.86;1.17;0.55;0.33;0.2
2015;8;Aug 15;0.40;0.73;1.63;2.35;0.6;2.19;0.46;1.18;1.34;2.04;0.14;1.06;0.91;1.19;0.54;0.32;0.23
2015;9;Sep 15;0.4;0.67;1.82;2.49;0.57;2.21;0.48;1.20;0.98;1.88;0.1;0.98;0.8;1.05;0.38;0.3;0.19
2015;10;Okt 15;0.41;2.7;0.00;2.71;0.59;2.36;0.51;1.3;0.9;1.80;0.12;0.85;0.82;1.23;0.35;0.27;0.2
2015;11;Nov 15;0.43;3.05;0;3.05;0.62;2.4;0.28;1.37;0.95;1.74;0.10;0.79;0.78;1.40;0.36;0.25;0.19
2015;12;Dez 15;0.42;2.5;0;2.5;0.57;2.25;0.50;1.36;0.95;1.66;0.09;0.80;0.77;1.35;0.36;0.25;0.20
2016;1;Jan 16;0.43;2.71;0;2.71;0.60;2.35;0.44;1.37;0.99;1.67;0.10;0.8;0.77;1.48;0.38;0.27;0.20
2016;2;Feb 16;0.44;2.9;0;2.9;0.58;2.34;0.38;1.32;0.99;1.69;0.1;0.76;0.77;1.44;0.40;0.30;0.18
2016;3;Mrz 16;0.44;2.60;0.07;2.67;0.58;2.2;0.43;1.2;1.01;1.73;0.11;0.74;0.76;1.39;0.41;0.29;0.20
2016;4;Apr 16;0.43;0.81;1.91;2.72;0.58;2.32;0.47;1.27;1.10;1.82;0.12;0.74;0.75;1.48;0.46;0.30;0.20
2016;5;Mai 16;0.40;0.81;1.87;2.68;0.58;2.28;0.45;1.18;1.27;1.99;0.1;0.84;0.77;1.55;0.48;0.3;0.22
2016;6;Jun 16;0.47;0.93;2.05;2.98;0.59;2.5;0.3;1.26;1.3;2.0;0.15;0.89;0.72;1.63;0.47;0.30;0.21
2016;7;Jul 16;0.43;0.80;1.94;2.74;0.6;2.3;0.38;1.24;1.19;1.91;0.16;0.95;0.77;1.7;0.44;0.30;0.22
2016;8;Aug 16;0.41;0.75;1.78;2.53;0.52;2.20;0.44;1.24;1.1;1.56;0.13;1.05;0.81;1.28;0.45;0.28;0.20
2016;9;Sep 16;0.42;0.75;1.74;2.49;0.57;2.16;0.47;1.27;1.12;1.80;0.2;0.86;0.77;1.70;0.47;0.30;0.20
